,ingredient,category,description,rating,rating_num
1718,triethoxycaprylylsilane,"silicones, slip agents",Silicone that functions as a binding agent and emulsifier.,Good,3.0
1719,triethoxycaprylylsilane crosspolymer,"silicones, film-forming/holding agents",A silicone polymer used to enhance a product's texture.,Good,3.0
1720,triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone,emollients,"A silicone polymer that has multiple functions in cosmetic products, including skin-conditioning...",Good,3.0
1721,triethylhexanoin,emollients,"Triethylhexanoin is a synthetic mixture of glycerin and a fatty acid that functions as a solvent, occlusive, and skin-conditioning ingredient.",Good,3.0
1722,trifolium pratense,"skin-soothing, antioxidants, plant extracts",,Good,3.0
1723,triglyceride,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
1724,trigonella foenum-graecum seed extract,"plant extracts, sensitizing, thickeners/emulsifiers","Latin name for the fenugreek plant. The seeds are used most often, and their fiber content helps...",Average,1.0
1725,trihydroxystearin,"thickeners/emulsifiers, emollients, skin-replenishing",Mixture of glycerin and fatty acids that is used as an emollient and thickening agent.,Good,3.0
1726,triisocetyl citrate,emollients,A trimester of the fatty alcohol isocetyl alcohol and citric acid. It is used as on occlusive agent.,Good,3.0
1727,trilaurin,"thickeners/emulsifiers, emollients","Group of ingredients that are triesters of glycerin and aliphatic acids, and known generically as...",Good,3.0
1728,trimethylsiloxyamodimethicone,"hydration, texture enhancer","Trimethylsiloxyamodimethicone is a synthetic silicone-based polymer that functions as a conditioning agent, hydrating and smoothing skin’s surface due to its lightweight yet silky, non-greasy feel.",Best,5.0
1729,trimethylsiloxysilicate,"silicones, slip agents, skin-softening, emollients",Used as a skin-softening and occlusive agent.,Good,3.0
1730,trioclanolin,miscellaneous,"Derived from lanolin and used as a texture enhancer, most commonly in powder-based products such as...",Good,3.0
1731,trioctanoin,"thickeners/emulsifiers, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
1732,trioctyldodecyl citrate,"emollients, skin-softening",Mixture of octyldodecanol and citric acid used as a skin-softening agent and emollient.,Average,1.0
1733,tripeptide-1,skin-restoring,"Tripeptide-1, aka GHK (glycine, histidine, lysine - the amino acids that comprise it), is a synthetic signal peptide that teaches skin to rebuild damaged areas.",Best,5.0
1734,tripeptide-29,"skin-restoring, hydration",Tripeptide-29 is a synthetic peptide consisting of amino acids glycine and proline plus hydroxyproline (an amino acid derivative) shown to improve uneven texture and the look of fine lines.,Best,5.0
1735,tripeptide-32,skin-restoring,"A synthetic peptide with the ""tri"" (meaning three) designation referring to this peptide's mix of the amino acids proline, serine, and threonine.",Good,3.0
1736,tripleurospermum maritimum extract,"plant extracts, antioxidants",,Good,3.0
1737,trisodium edta,miscellaneous,Similar to tetrasodium EDTA. Used as a water-softening and chelating agent (a compound that binds...,Good,3.0
1738,triticum vulgare (wheat) germ extract,"plant extracts, skin-softening","Extract from the germ portion of the wheat plant. In cosmetics, this ingredient functions as a...",Good,3.0
1739,triticum vulgare oil,"plant extracts, skin-softening, emollients",,Good,3.0
1740,troxerutin,"antioxidants, plant extracts",A flavonoid ingredient that's extracted from the Japanese plant Sophora japonica.,Best,5.0
1741,tryptophan,"antioxidants, skin-replenishing",,Good,3.0
1742,turmeric,"antioxidants, skin-soothing, plant extracts","Turmeric is a spice made from the dried, ground root of the Curcuma longa plant.",Best,5.0
1743,ubiquinone,"skin-soothing, antioxidants","it is a vitamin-like, fat-soluble substance.",Best,5.0
1744,ulmus fulva bark extract,"skin-soothing, plant extracts",,Good,3.0
1745,ultramarines,coloring agents/pigments,"Inorganic pigments (of various colors) permanently listed by the FDA for external use only,...",Good,3.0
1746,ulva lactuca extract,"skin-soothing, plant extracts, antioxidants","Extract from the plant known as sea lettuce, it has some soothing and antioxidant...",Good,3.0
1747,uncaria tomentosa extract,"plant extracts, skin-soothing","Also known as cat’s claw, there is some research showing it to be an effective soothing...",Average,1.0
1748,undaria pinnatifida (algae) extract,"antioxidants, plant extracts, hydration, skin-soothing","Undaria pinnatifida, also known as brown algae, is a type of seaweed that’s also edible.",Best,5.0
1749,urea,"exfoliant, hydration, skin-replenishing","Component of urine, although synthetic versions are used in cosmetics. In small amounts urea has...",Good,3.0
1750,urtica dioica,"skin-soothing, plant extracts",,Average,1.0
1751,uva,miscellaneous,"Ultraviolet A radiation. The sun produces a range of ultraviolet (UV) radiation, of which UVA and...",Poor,-1.0
1752,uva ursi extract,"plant extracts, antioxidants",,Best,5.0
1753,uvb,miscellaneous,Ultra-violet B radiation.,Poor,-1.0
1754,va/crotonates copolymer,film-forming/holding agents,,Good,3.0
1755,vaccinium macrocarpon fruit extract,"skin-soothing, antioxidants, plant extracts",Latin term for cranberry.,Best,5.0
1756,vaccinium myrtillus (bilberry) fruit extract,"plant extracts, antioxidants",Bilberry is one of the best sources of antioxidant compounds known as anthocyanins.,Best,5.0
1757,vaccinium vitis-idaea (lingonberry) fruit extract,"skin-soothing, antioxidants, plant extracts","Vaccinium vitis-idaea (also known as lingonberry) is a wild-growing Scandinavian-native berry that’s similar in nutrient profile and size with its plant “cousin”, blueberry.",Best,5.0
1758,vaccinum angustifolium (blueberry) fruit extract,antioxidants,"Blueberry fruit extract is rich in antioxidants, such as anthocyanins and flavonoids.",Best,5.0
1759,valine,"antioxidants, skin-replenishing",,Good,3.0
1760,vanilla planifolia fruit extract,"skin-soothing, plant extracts, antioxidants, fragrance: synthetic and fragrant plant extracts",Extract used primarily as a fragrance and flavoring agent. The vanilla plant is a source of...,Good,3.0
1761,verbena extract,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Fragrant extract that can be a skin sensitizer...,Poor,-1.0
1762,vetiver oil or extract,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Fragrant component in skincare products that also has some beneficial properties...,Poor,-1.0
1763,vinyl dimethicone/methicone silsesquioxane crosspolymer,"thickeners, silicones, texture enhancer",Blend of silicone polymers that functions as a thickening agent and texture enhancer.,Good,3.0
1764,viola tricolor extract,"skin-soothing, plant extracts, antioxidants",,Average,1.0
1765,vitamin a,"antioxidants, vitamins",,Best,5.0
1766,vitamin b1,vitamins,,Good,3.0
1767,vitamin b12,vitamins,Overall there is limited research showing vitamin B12 has any benefit when applied topically on skin,Good,3.0
1768,vitamin b2,"sensitizing, vitamins","There is no research showing this has any benefit when applied topically to skin. However, there is...",Average,1.0
1769,vitamin b3,"skin-restoring, vitamins, hydration",,Best,5.0
1770,vitamin b5,vitamins,Also known as pantothenic acid.,Good,3.0
1771,vitamin b6,vitamins,There is no research showing it to have benefit for skin.,Average,1.0
1772,vitamin c,"antioxidants, vitamins",Vitamin C is a top rated skin care ingredient to help maintain healthy-looking and radiant skin...,Best,5.0
1773,vitamin d,"antioxidants, vitamins","A fat-soluble vitamin (technically, it's a hormone) that may have antioxidant, soothing, and...",Good,3.0
1774,vitamin e,"antioxidants, vitamins",One of the most well-known and researched antioxidants for the body and for skin. Vitamin E occurs...,Best,5.0
1775,vitamin f,"antioxidants, skin-replenishing, vitamins, emollients, skin-restoring, hydration",Name sometimes used to represent essential fatty acids of linoleic acid and linolenic acid. These...,Best,5.0
1776,vitamin h,vitamins,,Good,3.0
1777,vitamin k,vitamins,"Technically known as phytonadione, vitamin K is a fat-soluble....",Good,3.0
1778,vitis vinifera,"antioxidants, emollients, plant extracts",Latin name for the vines that produce wine grapes. More commonly known as grape seed oil or grape...,Best,5.0
1779,volatile oil,"fragrance: synthetic and fragrant plant extracts, sensitizing",Group of volatile fluids derived primarily from plants and used in cosmetics primarily as fragrant...,Poor,-1.0
1780,vp/eicosene copolymer,film-forming/holding agents,A film-forming agent often used in water-resistant sunscreen products. It helps the sunscreen...,Good,3.0
1781,vp/hexadecene copolymer,"film-forming/holding agents, texture enhancer",Synthetic polymer.,Good,3.0
1782,walnut extract,"antioxidants, plant extracts",Extract that can have antioxidant properties...,Average,1.0
1783,walnut oil,"plant extracts, emollients","Emollient, non-fragrant plant oil...",Good,3.0
1784,walnut shell powder,scrub agents,Abrasive used in scrub products; not preferred to polyethylene beads.,Average,1.0
1785,water,miscellaneous,The most widely used cosmetic ingredient; water is almost always listed first on an ingredient...,Good,3.0
1786,watercress extract,"antioxidants, plant extracts","Research indicates that watercress extracts can have antioxidant activity, but that information is limited...",Average,1.0
1787,watermelon fruit extract,"antioxidants, plant extracts",,Best,5.0
1788,wheat amino acids,"miscellaneous, hydration",A blend of amino acids from wheat protein after it has been broken down via hydrolysis. Most often...,Good,3.0
1789,wheat germ glycerides,"thickeners/emulsifiers, emollients, texture enhancer",Used as emollient and texture enhancer in cosmetics.,Good,3.0
1790,wheat germ oil,"plant extracts, emollients",Emollient plant oil similar to all non-fragrant plant oils.,Good,3.0
1791,wheat protein,skin-replenishing,,Good,3.0
1792,whey protein,"miscellaneous, skin-softening","A form of protein derived from milk. An animal-derived ingredient, whey protein functions as a hair...",Good,3.0
1793,white nettle,"skin-soothing, plant extracts, sensitizing",Contains components that can have both soothing and sensitizing properties...,Average,1.0
1794,white oak bark extract,"plant extracts, sensitizing",,Poor,-1.0
1795,white tea leaf extract,"antioxidants, plant extracts",Extract from the minimally processed buds and leaves of green tea. There is research showing that...,Best,5.0
1796,white willow,"skin-soothing, plant extracts",,Good,3.0
1797,wild ginger,"skin-soothing, sensitizing, plant extracts",,Poor,-1.0
1798,willow bark,"skin-soothing, plant extracts","Contains salicin, a substance that when taken orally is converted by the digestive process to...",Good,3.0
1799,willow herb,"skin-soothing, plant extracts",,Best,5.0
1800,wintergreen oil,"plant extracts, sensitizing",A type of mint often used to ease the discomfort of sore muscles...,Poor,-1.0
1801,witch hazel,"skin-soothing, plant extracts, antioxidants, sensitizing",Commonly used plant extract that can have antioxidant properties...,Poor,-1.0
1802,xanthan gum,"thickeners/emulsifiers, texture enhancer",Used as a thickening agent.,Good,3.0
1803,xanthophyll,"antioxidants, plant extracts","Also known as lutein, this is a cartenoid pigment from plants that functions as an antioxidant.",Best,5.0
1804,ximenia americana oil,"plant extracts, antioxidants, emollients",Latin name for plum oil; it can have emollient properties.,Good,3.0
1805,xi xin,"skin-soothing, sensitizing, plant extracts",,Poor,-1.0
1806,xylitol,"thickeners/emulsifiers, texture enhancer, slip agents",Xylitol is a sugar alcohol that may be plant-derived or synthetic (Paula’s Choice uses the former).,Best,5.0
1807,xylitylglucoside,hydration,"An ingredient derived from two water-binding plant sugars, xylitol and glucose.",Good,3.0
1808,xylose,"miscellaneous, hydration","Form of sugar. Similar to other sugars, xylose has hydrating properties for skin.",Good,3.0
1809,xymenynic acid,"miscellaneous, skin-softening",Synthetic fatty acid that functions as a skin-softening agent.,Good,3.0
1810,yarrow extract,"skin-soothing, sensitizing, plant extracts",Extract for which there is little research showing it to have any benefit for skin. What studies do...,Poor,-1.0
1811,yeast,antioxidants,"Group of fungi that ferment sugars. Yeast is a source of beta-glucan, which is a good antioxidant....",Good,3.0
